gene,ensembl_base,gene_length,gene_type
RAD51AP1P1,ENSG00000214283,1001,processed_pseudogene
IL20RB,ENSG00000174564,64856,protein_coding
IL20RB-AS1,ENSG00000249407,23072,antisense
RNA5SP142,ENSG00000201325,122,rRNA
RP11-575C1.1,ENSG00000243886,571,processed_pseudogene
NPM1P17,ENSG00000242070,770,processed_pseudogene
SOX14,ENSG00000168875,2055,protein_coding
LINC01210,ENSG00000239513,8930,lincRNA
RP11-2A4.4,ENSG00000261146,4706,lincRNA
HSPA8P9,ENSG00000241478,1943,processed_pseudogene
CLDN18,ENSG00000066405,34921,protein_coding
RP11-461M2.2,ENSG00000272609,474,antisense
DZIP1L,ENSG00000158163,53829,protein_coding
KRT8P36,ENSG00000240668,1440,processed_pseudogene
AC023049.1,ENSG00000281378,138,miRNA
A4GNT,ENSG00000118017,8670,protein_coding
DBR1,ENSG00000138231,13938,protein_coding
ARMC8,ENSG00000114098,111142,protein_coding
NME9,ENSG00000181322,68450,protein_coding
MRAS,ENSG00000158186,57887,protein_coding
ESYT3,ENSG00000158220,47101,protein_coding
RP11-80P20.3,ENSG00000280399,3691,TEC
CEP70,ENSG00000114107,100195,protein_coding
FAIM,ENSG00000158234,24771,protein_coding
RP11-79L9.2,ENSG00000174715,821,processed_pseudogene
PIK3CB,ENSG00000051382,182240,protein_coding
GAPDHP39,ENSG00000239207,979,processed_pseudogene
RPL23AP40,ENSG00000242321,390,processed_pseudogene
EEF1A1P25,ENSG00000241429,1267,processed_pseudogene
ATP5G1P3,ENSG00000242244,703,processed_pseudogene
LINC01391,ENSG00000244578,8832,lincRNA
FOXL2,ENSG00000183770,2917,protein_coding
FOXL2NB,ENSG00000206262,6218,protein_coding
PRR23A,ENSG00000206260,801,protein_coding
MRPS22,ENSG00000175110,351418,protein_coding
PRR23B,ENSG00000184814,1896,protein_coding
PRR23C,ENSG00000233701,2791,protein_coding
RPL7L1P7,ENSG00000251137,724,processed_pseudogene
BPESC1,ENSG00000232416,20987,lincRNA
PISRT1,ENSG00000281473,531,lincRNA
PISRT1,ENSG00000276304,107,misc_RNA
RP11-219D15.3,ENSG00000272656,348,antisense
COPB2,ENSG00000184432,34133,protein_coding
RP11-319G6.1,ENSG00000248932,193505,antisense
RBP2,ENSG00000114113,27864,protein_coding
RP11-319G6.3,ENSG00000248790,366,antisense
ACTG1P1,ENSG00000178631,1129,processed_pseudogene
AC097103.1,ENSG00000263538,84,miRNA
RBP1,ENSG00000114115,22396,protein_coding
NMNAT3,ENSG00000163864,117838,protein_coding
RP11-553K23.2,ENSG00000214280,666,processed_pseudogene
RN7SKP124,ENSG00000201600,341,misc_RNA
RN7SL724P,ENSG00000244692,271,misc_RNA
RP11-442N1.2,ENSG00000261763,3945,lincRNA
RP11-442N1.1,ENSG00000250543,940,lincRNA
RP11-166D18.1,ENSG00000251471,22675,lincRNA
TRMT112P5,ENSG00000250161,334,processed_pseudogene
CLSTN2,ENSG00000158258,642213,protein_coding
RP11-68L1.2,ENSG00000249290,10917,antisense
RP11-68L1.1,ENSG00000251058,1826,antisense
AC048346.1,ENSG00000216184,93,miRNA
CLSTN2-AS1,ENSG00000250433,3179,antisense
RP11-13L2.1,ENSG00000249305,144,processed_pseudogene
TRIM42,ENSG00000155890,23112,protein_coding
RP11-691G17.1,ENSG00000261826,2709,lincRNA
RPL23AP41,ENSG00000224085,458,processed_pseudogene
SLC25A36,ENSG00000114120,38104,protein_coding
RP11-231L11.3,ENSG00000248773,512,sense_intronic
SPSB4,ENSG00000175093,97210,protein_coding
RP11-231L11.1,ENSG00000251270,9059,antisense
PXYLP1,ENSG00000155893,66181,protein_coding
RP11-764I5.1,ENSG00000241400,362,processed_pseudogene
RP11-438D8.2,ENSG00000249417,99785,antisense
RP11-789L4.1,ENSG00000249540,322,processed_pseudogene
ZBTB38,ENSG00000177311,125580,protein_coding
KRT18P35,ENSG00000215606,1269,processed_pseudogene
RASA2,ENSG00000155903,128296,protein_coding
AC010184.1,ENSG00000280530,244,protein_coding
RASA2-IT1,ENSG00000250170,989,sense_intronic
YWHAQP6,ENSG00000249986,304,processed_pseudogene
RP11-340E6.1,ENSG00000242104,57875,lincRNA
TPT1P3,ENSG00000241899,817,processed_pseudogene
RP11-144C9.1,ENSG00000241526,102,processed_pseudogene
RNF7,ENSG00000114125,9357,protein_coding
GRK7,ENSG00000114124,40343,protein_coding
AC112504.1,ENSG00000265391,99,miRNA
HMGN2P25,ENSG00000228398,268,processed_pseudogene
ATP1B3,ENSG00000069849,50391,protein_coding
RNU6-509P,ENSG00000200389,107,snRNA
ATP1B3-AS1,ENSG00000244124,770,antisense
RP11-271K21.12,ENSG00000279147,1841,TEC
TFDP2,ENSG00000114126,205117,protein_coding
RP11-343B5.1,ENSG00000233597,576,processed_pseudogene
RNU6-425P,ENSG00000206604,102,snRNA
GK5,ENSG00000175066,68081,protein_coding
XRN1,ENSG00000114127,141456,protein_coding
RNU6-1294P,ENSG00000251804,81,snRNA
RNU1-100P,ENSG00000202125,165,snRNA
ATR,ENSG00000175054,129592,protein_coding
RP11-383G6.4,ENSG00000242479,2048,processed_pseudogene
RP11-383G6.3,ENSG00000244327,7023,sense_overlapping
RPL6P9,ENSG00000242390,1490,processed_pseudogene
RNA5SP143,ENSG00000252745,115,rRNA
PLS1,ENSG00000120756,117278,protein_coding
PLS1-AS1,ENSG00000239641,1962,antisense
RN7SKP25,ENSG00000199319,308,misc_RNA
TRPC1,ENSG00000144935,83815,protein_coding
RNU7-47P,ENSG00000251787,62,snRNA
PCOLCE2,ENSG00000163710,73282,protein_coding
RP11-372E1.1,ENSG00000240950,633,processed_pseudogene
RP11-372E1.4,ENSG00000243818,15860,antisense
PAQR9,ENSG00000188582,14519,protein_coding
RP11-372E1.7,ENSG00000241592,172,processed_pseudogene
PAQR9-AS1,ENSG00000241570,40910,antisense
U2SURP,ENSG00000163714,96050,protein_coding
RP11-91G21.1,ENSG00000268129,561,lincRNA
RP11-80H8.3,ENSG00000243733,558,lincRNA
CHST2,ENSG00000175040,4684,protein_coding
RP11-80H8.4,ENSG00000241679,8532,processed_transcript
AC018450.1,ENSG00000211483,90,miRNA
PBX2P1,ENSG00000244171,1291,processed_pseudogene
SLC9A9,ENSG00000181804,583310,protein_coding
RP13-635I23.3,ENSG00000240888,1363,sense_intronic
SLC9A9-AS1,ENSG00000240012,4826,antisense
SLC9A9-AS2,ENSG00000244493,824,antisense
GAPDHP47,ENSG00000243033,999,processed_pseudogene
ST13P15,ENSG00000243759,1107,processed_pseudogene
RP11-501M7.1,ENSG00000248374,7163,unprocessed_pseudogene
RP11-8J23.1,ENSG00000235110,404,processed_pseudogene
C3ORF58,ENSG00000181744,76922,protein_coding
RNA5SP144,ENSG00000222778,116,rRNA
RP11-42F12.1,ENSG00000280397,3634,TEC
LARP7P4,ENSG00000244024,878,processed_pseudogene
GM2AP1,ENSG00000241695,521,processed_pseudogene
RPL21P39,ENSG00000239797,483,processed_pseudogene
AC055758.1,ENSG00000273810,89,miRNA
RP11-88H10.2,ENSG00000244358,21625,lincRNA
RP11-88H10.3,ENSG00000240095,1869,lincRNA
RP11-274H2.5,ENSG00000261051,2095,sense_overlapping
RP11-274H2.2,ENSG00000243415,41163,antisense
RP11-274H2.3,ENSG00000240032,2842,antisense
PLOD2,ENSG00000152952,94214,protein_coding
PLSCR4,ENSG00000114698,58841,protein_coding
RP11-758I14.2,ENSG00000243596,5485,processed_pseudogene
RP11-758I14.3,ENSG00000241358,25241,transcribed_processed_pseudogene
PLSCR2,ENSG00000163746,104571,protein_coding
RP11-329N15.3,ENSG00000279320,1991,TEC
PLSCR1,ENSG00000188313,29685,protein_coding
RNU6-428P,ENSG00000199812,107,snRNA
PLSCR5,ENSG00000231213,29662,protein_coding
PLSCR5-AS1,ENSG00000241457,724,antisense
RP11-649A16.1,ENSG00000243620,460972,antisense
RP11-232M24.1,ENSG00000242671,3296,lincRNA
RNU6-505P,ENSG00000207156,107,snRNA
RPL21P71,ENSG00000239412,485,processed_pseudogene
ZIC4,ENSG00000174963,20815,protein_coding
ZIC4-AS1,ENSG00000241202,487,antisense
ZIC1,ENSG00000152977,116872,protein_coding
NPM1P28,ENSG00000240804,840,processed_pseudogene
RP11-78O22.1,ENSG00000239661,2535,lincRNA
AC092925.1,ENSG00000221431,96,miRNA
RP11-71N10.1,ENSG00000239922,66752,lincRNA
RP11-639B1.1,ENSG00000241131,9871,lincRNA
AC092958.1,ENSG00000221457,90,miRNA
RP11-501O2.1,ENSG00000241792,34059,lincRNA
RP11-501O2.3,ENSG00000244650,65696,lincRNA
HNRNPA1P20,ENSG00000205412,955,processed_pseudogene
RP11-501O2.4,ENSG00000243347,84370,lincRNA
RP11-501O2.5,ENSG00000242440,119066,lincRNA
RPL38P1,ENSG00000241993,211,processed_pseudogene
AGTR1,ENSG00000144891,45225,protein_coding
CPB1,ENSG00000153002,69086,protein_coding
HMGB1P30,ENSG00000244089,606,processed_pseudogene
RP11-680B3.2,ENSG00000240521,109180,antisense
CPA3,ENSG00000163751,31941,protein_coding
UBQLN4P1,ENSG00000241627,1801,processed_pseudogene
GYG1,ENSG00000163754,36328,protein_coding
HLTF,ENSG00000071794,56428,protein_coding
HLTF-AS1,ENSG00000239718,16492,antisense
Y_RNA,ENSG00000201031,110,misc_RNA
MED28P2,ENSG00000240511,317,processed_pseudogene
HPS3,ENSG00000163755,44149,protein_coding
CP,ENSG00000047457,59646,protein_coding
CPHL1P,ENSG00000240216,62445,unitary_pseudogene
RP11-206M11.7,ENSG00000244468,48872,antisense
TM4SF18,ENSG00000163762,15917,protein_coding
RP11-2G17.1,ENSG00000243822,377,processed_pseudogene
TM4SF1,ENSG00000169908,8844,protein_coding
TM4SF1-AS1,ENSG00000240541,8806,antisense
RP11-278L15.2,ENSG00000243885,1622,lincRNA
RP11-167H9.1,ENSG00000240246,231,processed_pseudogene
RP11-278L15.3,ENSG00000241929,2649,processed_pseudogene
RP11-278L15.7,ENSG00000282502,336,processed_pseudogene
RP11-278L15.4,ENSG00000239408,363,processed_pseudogene
TM4SF4,ENSG00000169903,29308,protein_coding
RP11-278L15.6,ENSG00000244503,1336,processed_pseudogene
WWTR1,ENSG00000018408,219480,protein_coding
RNU6-1098P,ENSG00000252581,96,snRNA
WWTR1-IT1,ENSG00000241985,1188,sense_intronic
WWTR1-AS1,ENSG00000241313,4345,antisense
COMMD2,ENSG00000114744,14030,protein_coding
ANKUB1,ENSG00000206199,207281,protein_coding
AC069216.1,ENSG00000281611,70,miRNA
RNU6-507P,ENSG00000251854,100,snRNA
RNF13,ENSG00000082996,149432,protein_coding
RNU6-720P,ENSG00000252172,108,snRNA
NPM1P29,ENSG00000239351,803,processed_pseudogene
PFN2,ENSG00000070087,85885,protein_coding
RP11-651P23.5,ENSG00000242791,2601,lincRNA
RP11-651P23.4,ENSG00000224831,1128,processed_pseudogene
RP11-651P23.2,ENSG00000182000,403,processed_pseudogene
HNRNPA1P24,ENSG00000241947,1046,processed_pseudogene
RP11-167H9.4,ENSG00000243944,174513,antisense
RP11-63E16.1,ENSG00000240477,728,processed_pseudogene
RP11-167H9.3,ENSG00000243321,2624,lincRNA
RPL32P9,ENSG00000241143,407,transcribed_processed_pseudogene
RP11-167H9.5,ENSG00000241048,23017,lincRNA
LINC01213,ENSG00000244541,1691,lincRNA
U2,ENSG00000278234,84,snRNA
LINC01214,ENSG00000243550,21962,lincRNA
TSC22D2,ENSG00000196428,58097,protein_coding
SERP1,ENSG00000120742,61235,protein_coding
EIF2A,ENSG00000144895,37565,protein_coding
SELT,ENSG00000198843,27571,protein_coding
RP11-392O18.2,ENSG00000271711,616,processed_pseudogene
ERICH6,ENSG00000163645,44087,protein_coding
ERICH6-AS1,ENSG00000240137,16583,antisense
SNRPCP3,ENSG00000244668,840,processed_pseudogene
SIAH2,ENSG00000181788,22351,protein_coding
SIAH2-AS1,ENSG00000244265,602,antisense
AC016142.1,ENSG00000280141,375,protein_coding
CLRN1-AS1,ENSG00000239265,228243,antisense
RP11-166N6.1,ENSG00000214237,20016,transcribed_unprocessed_pseudogene
RP11-166N6.3,ENSG00000260234,58747,protein_coding
RP11-166N6.2,ENSG00000243273,148183,antisense
RP11-373I8.1,ENSG00000244382,2241,lincRNA
CLRN1,ENSG00000163646,46837,protein_coding
AC020636.1,ENSG00000281338,136,miRNA
CLRN1-AS1,ENSG00000276055,79,misc_RNA
MED12L,ENSG00000144893,351376,protein_coding
RNA5SP145,ENSG00000199994,125,rRNA
GPR171,ENSG00000174946,5370,protein_coding
P2RY14,ENSG00000174944,66351,protein_coding
AC078816.1,ENSG00000264327,89,miRNA
SETP11,ENSG00000239570,690,processed_pseudogene
GPR87,ENSG00000138271,22867,protein_coding
P2RY13,ENSG00000181631,3237,protein_coding
P2RY12,ENSG00000169313,47433,protein_coding
IGSF10,ENSG00000152580,33326,protein_coding
MRPL42P6,ENSG00000242810,371,processed_pseudogene
RP11-312P21.2,ENSG00000242119,168,processed_pseudogene
MIR5186,ENSG00000264330,120,miRNA
AC069067.1,ENSG00000222833,114,miRNA
RP11-454C18.1,ENSG00000241151,20793,lincRNA
AADACL2,ENSG00000197953,27424,protein_coding
AADACL2-AS1,ENSG00000242908,176733,antisense
RP11-64D22.1,ENSG00000242097,2265,processed_pseudogene
AADACP1,ENSG00000240602,14467,transcribed_unprocessed_pseudogene
RP11-64D22.5,ENSG00000250271,10766,lincRNA
AADAC,ENSG00000114771,14452,protein_coding
SUCNR1,ENSG00000198829,10977,protein_coding
RP11-246A10.1,ENSG00000239941,33552,lincRNA
MBNL1,ENSG00000152601,221953,protein_coding
MBNL1-AS1,ENSG00000229619,6940,antisense
TMEM14E,ENSG00000221962,378,protein_coding
Y_RNA,ENSG00000201217,113,misc_RNA
RP11-362A9.3,ENSG00000243305,39055,antisense
RP11-788A4.1,ENSG00000244545,2302,lincRNA
ATP5LP5,ENSG00000242561,299,processed_pseudogene
P2RY1,ENSG00000169860,6747,protein_coding
AC013251.1,ENSG00000273789,67,miRNA
HMGN2P13,ENSG00000241810,274,processed_pseudogene
RP11-529G21.3,ENSG00000241671,567,processed_pseudogene
RP11-529G21.2,ENSG00000244268,5265,antisense
RAP2B,ENSG00000181467,4904,protein_coding
RN7SL300P,ENSG00000265813,318,misc_RNA
RP11-292E2.1,ENSG00000241220,17080,lincRNA
RP11-292E2.2,ENSG00000241912,732,lincRNA
RP11-23D24.2,ENSG00000238755,595253,processed_transcript
RP11-292E2.4,ENSG00000243012,11676,lincRNA
RNU6-901P,ENSG00000207323,106,snRNA
C3ORF79,ENSG00000237787,18203,lincRNA
Y_RNA,ENSG00000200162,103,misc_RNA
RP11-217E22.5,ENSG00000243486,59311,lincRNA
U8,ENSG00000201398,136,snoRNA
RPL21P42,ENSG00000240068,464,processed_pseudogene
ARHGEF26-AS1,ENSG00000243069,96932,processed_transcript
ARHGEF26,ENSG00000114790,136825,protein_coding
DHX36,ENSG00000174953,51952,protein_coding
SNOU13,ENSG00000271922,104,snoRNA
RP11-316N24.2,ENSG00000279305,2239,TEC
GPR149,ENSG00000174948,92044,protein_coding
DDX50P2,ENSG00000240048,2664,processed_pseudogene
RP11-656A15.1,ENSG00000243861,27775,lincRNA
CTD-2501O3.2,ENSG00000243154,768,processed_pseudogene
DYNLL1P5,ENSG00000242151,270,processed_pseudogene
RPL9P15,ENSG00000240601,532,processed_pseudogene
RP11-439C8.1,ENSG00000243969,34002,lincRNA
RP11-439C8.2,ENSG00000243953,941,lincRNA
MME,ENSG00000196549,159606,protein_coding
MME-AS1,ENSG00000240666,24916,antisense
LINC01487,ENSG00000241336,2200,lincRNA
RP11-451G4.2,ENSG00000240045,3547,lincRNA
RP11-451G4.3,ENSG00000242790,2989,lincRNA
PABPC1P10,ENSG00000239443,381,processed_pseudogene
PLCH1,ENSG00000114805,369488,protein_coding
RP11-639F1.1,ENSG00000248772,108,unprocessed_pseudogene
RP11-639F1.2,ENSG00000243518,2071,processed_pseudogene
RP11-639F1.3,ENSG00000242152,2170,processed_pseudogene
RN7SL715P,ENSG00000272096,286,misc_RNA
PLCH1-AS1,ENSG00000239508,8570,antisense
PLCH1-AS2,ENSG00000242925,1319,antisense
RPL6P7,ENSG00000239212,853,processed_pseudogene
RP11-674E16.4,ENSG00000214919,1585,sense_intronic
RP11-674E16.1,ENSG00000241307,601,processed_pseudogene
C3ORF33,ENSG00000174928,43735,protein_coding
SLC33A1,ENSG00000169359,33406,protein_coding
GMPS,ENSG00000163655,73491,protein_coding
SETP14,ENSG00000240489,873,processed_pseudogene
VN2R1P,ENSG00000174930,18002,unitary_pseudogene
KCNAB1,ENSG00000169282,501438,protein_coding
ALG1L15P,ENSG00000242017,794,processed_pseudogene
MRE11B,ENSG00000242537,2767,processed_pseudogene
RP11-118D22.3,ENSG00000227709,1060,processed_pseudogene
KCNAB1-AS2,ENSG00000240596,12324,antisense
KCNAB1-AS1,ENSG00000242370,5749,antisense
RP11-305K5.1,ENSG00000272990,508,antisense
SSR3,ENSG00000114850,15045,protein_coding
TIPARP-AS1,ENSG00000243926,2517,antisense
TIPARP,ENSG00000163659,33536,protein_coding
METTL15P1,ENSG00000174912,1045,processed_pseudogene
LINC00886,ENSG00000240875,69717,lincRNA
PA2G4P4,ENSG00000230457,1182,processed_pseudogene
LEKR1,ENSG00000197980,220649,protein_coding
KLF3P2,ENSG00000241879,268,processed_pseudogene
RP11-6F2.3,ENSG00000239706,596,processed_pseudogene
RN7SKP177,ENSG00000222499,355,misc_RNA
LINC00880,ENSG00000243629,41338,lincRNA
RP11-6F2.5,ENSG00000241544,6707,lincRNA
LINC00881,ENSG00000241135,11255,lincRNA
CCNL1,ENSG00000163660,14253,protein_coding
Y_RNA,ENSG00000201778,93,misc_RNA
KRT18P34,ENSG00000244515,1270,processed_pseudogene
RP11-555M1.3,ENSG00000241770,5682,antisense
RNA5SP146,ENSG00000222675,123,rRNA
RP11-550I24.2,ENSG00000243176,206043,processed_transcript
RP11-550I24.3,ENSG00000270981,889,processed_pseudogene
VEPH1,ENSG00000197415,273878,protein_coding
AC092944.1,ENSG00000280625,126,miRNA
PTX3,ENSG00000163661,6840,protein_coding
PQLC2L,ENSG00000174899,134504,protein_coding
RN7SKP46,ENSG00000251751,234,misc_RNA
RP11-290K4.1,ENSG00000239716,1576,lincRNA
RP11-290K4.2,ENSG00000242536,72782,lincRNA
SHOX2,ENSG00000168779,10550,protein_coding
RSRC1,ENSG00000174891,439876,protein_coding
RP11-113A11.1,ENSG00000241723,613,processed_pseudogene
RP11-113A11.3,ENSG00000277143,348,processed_pseudogene
RP11-538P18.1,ENSG00000243314,374,processed_pseudogene
RP11-538P18.2,ENSG00000243150,25847,antisense
MLF1,ENSG00000178053,36090,protein_coding
MTAPP1,ENSG00000243025,1248,processed_pseudogene
RP11-79M21.3,ENSG00000243165,194,processed_pseudogene
GFM1,ENSG00000168827,48298,protein_coding
LXN,ENSG00000079257,26872,protein_coding
RP11-379F4.7,ENSG00000272087,649,lincRNA
RP11-379F4.6,ENSG00000272440,215,lincRNA
RARRES1,ENSG00000118849,35805,protein_coding
MFSD1,ENSG00000118855,97522,protein_coding
RP11-379F4.4,ENSG00000240207,51808,antisense
RP11-379F4.1,ENSG00000243675,323,processed_pseudogene
RP11-379F4.8,ENSG00000271778,578,sense_intronic
RP11-379F4.9,ENSG00000272247,679,antisense
GPR79,ENSG00000232374,868,processed_pseudogene
RP11-170K4.2,ENSG00000279311,1924,TEC
IQCJ-SCHIP1,ENSG00000250588,935132,protein_coding
IQCJ,ENSG00000214216,303380,protein_coding
MIR3919,ENSG00000263634,89,miRNA
RP11-441M10.1,ENSG00000244249,685,processed_pseudogene
RP11-564C24.1,ENSG00000243116,878,processed_pseudogene
IQCJ-SCHIP1-AS1,ENSG00000241211,3226,antisense
RNU2-31P,ENSG00000252763,155,snRNA
AC021654.1,ENSG00000264146,84,miRNA
SCHIP1,ENSG00000151967,57500,protein_coding
IL12A-AS1,ENSG00000244040,311900,antisense
IL12A,ENSG00000168811,7270,protein_coding
LINC01100,ENSG00000242107,15400,lincRNA
BRD7P2,ENSG00000184100,1944,processed_pseudogene
C3ORF80,ENSG00000180044,2578,protein_coding
RP11-432B6.3,ENSG00000248710,222376,protein_coding
IFT80,ENSG00000068885,142895,protein_coding
RP11-432B6.1,ENSG00000243687,331,processed_pseudogene
SMC4,ENSG00000113810,35689,protein_coding
MIR15B,ENSG00000207779,98,miRNA
MIR16-2,ENSG00000198987,81,miRNA
TRIM59,ENSG00000213186,53329,protein_coding
B3GAT3P1,ENSG00000244009,806,processed_pseudogene
RNU7-136P,ENSG00000238427,69,snRNA
KPNA4,ENSG00000186432,70594,protein_coding
SCARNA7,ENSG00000238741,330,scaRNA
KRT8P12,ENSG00000229320,3802,transcribed_processed_pseudogene
RPL6P8,ENSG00000242285,843,processed_pseudogene
ARL14,ENSG00000179674,1294,protein_coding
SNORA72,ENSG00000207084,132,snoRNA
RP11-16N11.2,ENSG00000260572,1715,antisense
PPM1L,ENSG00000163590,323306,protein_coding
B3GALNT1,ENSG00000169255,21502,protein_coding
NMD3,ENSG00000169251,148837,protein_coding
RP11-479I16.2,ENSG00000271052,237,processed_pseudogene
EEF1GP4,ENSG00000240138,1307,processed_pseudogene
PSMC1P7,ENSG00000243838,1315,processed_pseudogene
SPTSSB,ENSG00000196542,28089,protein_coding
RP11-3P17.4,ENSG00000240567,21816,lincRNA
RP11-3P17.5,ENSG00000269888,502,lincRNA
RPL23AP42,ENSG00000234851,471,processed_pseudogene
OTOL1,ENSG00000182447,7135,protein_coding
RP11-774I5.1,ENSG00000240354,5000,lincRNA
TOMM22P6,ENSG00000241874,409,processed_pseudogene
RP13-526J3.1,ENSG00000243044,166,processed_pseudogene
RP11-10O22.1,ENSG00000241168,205754,lincRNA
RP11-535I24.2,ENSG00000244571,758,processed_pseudogene
LINC01192,ENSG00000241369,233641,lincRNA
RNU7-163P,ENSG00000238924,62,snRNA
RP11-418B12.1,ENSG00000240792,4299,lincRNA
AC104637.1,ENSG00000265090,86,miRNA
RP11-208P4.1,ENSG00000214210,860,processed_pseudogene
MIR1263,ENSG00000221251,86,miRNA
LINC01323,ENSG00000241636,15199,lincRNA
LINC01324,ENSG00000241767,117386,lincRNA
SI,ENSG00000090402,99598,protein_coding
Y_RNA,ENSG00000200052,111,misc_RNA
RP11-747D18.1,ENSG00000239205,8057,lincRNA
SLITRK3,ENSG00000121871,10390,protein_coding
LINC01322,ENSG00000244128,448464,lincRNA
BCHE,ENSG00000114200,64569,protein_coding
MTND4P17,ENSG00000242178,350,processed_pseudogene
RP11-12N13.6,ENSG00000240084,291,processed_pseudogene
MTND3P7,ENSG00000240824,343,processed_pseudogene
RP11-12N13.4,ENSG00000242456,766,processed_pseudogene
RP11-12N13.2,ENSG00000242326,508,processed_pseudogene
RP11-12N13.1,ENSG00000244429,598,processed_pseudogene
LINC01326,ENSG00000244321,1071,lincRNA
RP11-450H5.4,ENSG00000274149,268,processed_pseudogene
RN7SKP298,ENSG00000251759,94,misc_RNA
PSAT1P4,ENSG00000224962,526,processed_pseudogene
RP11-450H5.3,ENSG00000240458,153,processed_pseudogene
CBX1P5,ENSG00000231516,559,processed_pseudogene
AC128686.1,ENSG00000276661,68,miRNA
RP11-12K11.2,ENSG00000240033,9936,lincRNA
RP11-12K11.1,ENSG00000239227,167,processed_pseudogene
AC092965.1,ENSG00000215922,87,miRNA
RP11-440K22.1,ENSG00000220343,490,processed_pseudogene
ZBBX,ENSG00000169064,141060,protein_coding
LINC01327,ENSG00000241669,15724,lincRNA
SERPINI2,ENSG00000114204,37216,protein_coding
WDR49,ENSG00000174776,175300,protein_coding
PDCD10,ENSG00000114209,51642,protein_coding
HMGN1P8,ENSG00000241120,288,processed_pseudogene
SERPINI1,ENSG00000163536,90326,protein_coding
RP11-298O21.6,ENSG00000242924,12145,lincRNA
RP11-298O21.7,ENSG00000244214,1766,lincRNA
RP11-298O21.3,ENSG00000244706,4478,lincRNA
RP11-298O21.2,ENSG00000240292,16748,lincRNA
MEMO1P3,ENSG00000239238,302,processed_pseudogene
LINC01330,ENSG00000244227,28064,lincRNA
RP11-603B13.1,ENSG00000242036,306,processed_pseudogene
HMGN2P26,ENSG00000241203,339,processed_pseudogene
GOLIM4,ENSG00000173905,87299,protein_coding
AC069243.1,ENSG00000266363,92,miRNA
EGFEM1P,ENSG00000206120,581078,unitary_pseudogene
RP11-637O11.2,ENSG00000241882,2676,lincRNA
RNU2-20P,ENSG00000222357,191,snRNA
MIR551B,ENSG00000207717,96,miRNA
RP11-694D5.1,ENSG00000226765,865,processed_pseudogene
RPL21P43,ENSG00000231688,472,processed_pseudogene
RP11-368I23.2,ENSG00000242268,18631,lincRNA
RP11-368I23.3,ENSG00000272797,445,lincRNA
RP11-368I23.4,ENSG00000273177,430,lincRNA
RP11-152C17.1,ENSG00000241383,2393,lincRNA
MECOM,ENSG00000085276,580120,protein_coding
RP11-641D5.2,ENSG00000241479,29186,antisense
RP11-641D5.1,ENSG00000213178,410,processed_pseudogene
AC074033.1,ENSG00000281137,238,protein_coding
RP11-3K16.2,ENSG00000242795,10442,sense_intronic
RP11-3K16.1,ENSG00000244381,471,processed_pseudogene
RNU6-637P,ENSG00000206777,107,snRNA
TERC,ENSG00000270141,541,lincRNA
TELOMERASE-VERT,ENSG00000277925,438,misc_RNA
ACTRT3,ENSG00000184378,2975,protein_coding
RP11-816J6.3,ENSG00000269889,2395,antisense
MYNN,ENSG00000085274,16886,protein_coding
RP11-362K14.5,ENSG00000269984,3143,antisense
LRRC34,ENSG00000171757,19559,protein_coding
RP11-362K14.7,ENSG00000270135,472,antisense
RP11-362K14.6,ENSG00000270096,1252,antisense
LRRIQ4,ENSG00000188306,15854,protein_coding
LRRC31,ENSG00000114248,30752,protein_coding
KRT18P43,ENSG00000240128,1281,processed_pseudogene
SAMD7,ENSG00000187033,27604,protein_coding
RP11-379K17.2,ENSG00000244039,1232,processed_pseudogene
RP11-379K17.4,ENSG00000239219,27382,antisense
RP11-379K17.5,ENSG00000244193,768,transcribed_processed_pseudogene
SEC62,ENSG00000008952,31739,protein_coding
SEC62-AS1,ENSG00000240373,7180,antisense
GPR160,ENSG00000173890,47475,protein_coding
RNU4-38P,ENSG00000201342,129,snRNA
RP11-379K17.9,ENSG00000242583,708,processed_pseudogene
PHC3,ENSG00000173889,95018,protein_coding
RP11-379K17.12,ENSG00000268220,1781,antisense
RNU6-315P,ENSG00000199536,107,snRNA
PRKCI,ENSG00000163558,83617,protein_coding
Y_RNA,ENSG00000200118,100,misc_RNA
RP11-543D10.2,ENSG00000239628,8284,lincRNA
SKIL,ENSG00000136603,39158,protein_coding
RP11-469J4.3,ENSG00000242578,8104,lincRNA
CLDN11,ENSG00000013297,441516,protein_coding
SLC7A14,ENSG00000013293,126491,protein_coding
KRT8P13,ENSG00000241416,1010,processed_pseudogene
AC008041.1,ENSG00000281375,133,miRNA
RP11-373E16.1,ENSG00000213174,414,processed_pseudogene
RP11-373E16.3,ENSG00000244738,5562,sense_intronic
RP11-373E16.4,ENSG00000239739,1015,lincRNA
RPL22L1,ENSG00000163584,5609,protein_coding
EIF5A2,ENSG00000163577,20279,protein_coding
KLF7P1,ENSG00000240704,1048,processed_pseudogene
RNU1-70P,ENSG00000199488,164,snRNA
SLC2A2,ENSG00000163581,30403,protein_coding
TNIK,ENSG00000154310,399070,protein_coding
MIR569,ENSG00000207963,96,miRNA
Y_RNA,ENSG00000222506,102,misc_RNA
RP11-185E8.2,ENSG00000279673,1645,TEC
RP11-185E8.1,ENSG00000240497,1550,lincRNA
RNU6-348P,ENSG00000207114,107,snRNA
RP11-263C16.2,ENSG00000234594,193,processed_pseudogene
